,mmol_experiment1_reagent1_chemical1,mmol_experiment1_reagent2_chemical2,mmol_experiment1_reagent2_chemical3,mmol_experiment1_reagent3_chemical3,mmol_experiment1_reagent5_chemical5,mmol_experiment1_reagent6_chemical5
0,2.367754675339761,0.456,0.912,0.084,4.744297197479905,0.3710623506408864
1,0.01300964107329539,0.6555,1.311,0.372,3.04801216597871,1.9348251140560506
2,2.810082471831804,0.3675,0.735,0.234,1.6167716706495765,1.3517271344775148
3,4.2801719131141835,0.171,0.342,0.342,1.669780577883989,1.060178144688247
4,1.1188291323034034,0.1125,0.225,2.034,6.414077775363893,0.0
5,0.7805784643977234,0.489,0.978,0.684,4.108190310666956,2.464914186400174
6,1.1318387733766988,0.4755,0.951,0.576,2.809472083423854,2.3588963719313494
7,2.276687187826693,0.483,0.966,0.018,3.260047794916359,1.9613295676732567
8,3.6817284237425953,0.0345,0.069,1.164,4.664783836628286,1.8023028459700197
9,3.642699500522709,0.189,0.378,0.564,0.4770801651097111,1.6167716706495765
10,2.666976420025555,0.354,0.708,0.354,0.9806647838366284,5.141864001737996
11,1.6652340573818099,0.2565,0.513,1.206,2.2793830110797306,1.7757983923528133
12,1.600185852015333,0.558,1.116,0.03,2.5444275472517925,2.1733651966109058
13,4.5143454524335,0.171,0.342,0.234,4.6117749293938735,1.7757983923528133
14,5.320943198977814,0.057,0.114,0.318,2.1998696502281123,3.5515967847056267
15,0.767568823324428,0.5205,1.041,0.564,2.9154898978926784,2.7034542689550296
16,2.966198164711349,0.0855,0.171,1.29,3.6576145991744515,0.7421247012817728
17,0.1170867696596585,0.735,1.47,0.006,5.088855094503585,0.34455789702368017
18,1.1708676965965852,0.3675,0.735,0.99,1.6432761242667826,1.7757983923528133
19,0.07805784643977233,0.741,1.482,0.0,0.5035846187269173,1.5107538561807516
20,0.4032988732721571,0.5745,1.149,0.516,2.120356289376494,0.0
21,1.6652340573818099,0.2895,0.579,1.074,0.02650445361720617,6.149033239191832
22,1.6522244163085145,0.123,0.246,1.746,6.0165109711058005,0.15902672170323703
23,4.982692531072135,0.1545,0.309,0.084,5.32739517705844,1.2192048663914838
24,2.8230921129050994,0.3435,0.687,0.324,3.233543341299153,0.1855311753204432
25,0.7415495411778372,0.1995,0.399,1.86,5.7249619813165324,0.7156202476645666
26,3.1743524218840746,0.297,0.594,0.348,4.161199217901369,1.24570932000869
27,0.01300964107329539,0.6825,1.365,0.264,3.6311101455572454,2.3854008255485555
28,0.3772795911255663,0.381,0.762,1.302,2.83597653704106,0.8481425157505974
29,0.20815425717272623,0.531,1.062,0.78,6.0165109711058005,0.6096024331957419
30,2.8361017539783946,0.2985,0.597,0.498,5.7249619813165324,0.0
31,1.4830990823556744,0.492,0.984,0.348,5.88398870301977,0.10601781446882468
32,0.039028923219886165,0.7365,1.473,0.036,2.623940908103411,3.4985878774712145
33,0.8456266697642003,0.3405,0.681,1.248,2.570932000868998,3.286552248533565
34,2.2636775467533976,0.2235,0.447,1.062,5.645448620464915,0.6626113404301543
35,1.4570798002090837,0.2505,0.501,1.326,5.088855094503585,0.9806647838366284
36,1.7172726216749914,0.2385,0.477,1.254,2.623940908103411,1.404736041711927
37,0.1431060518062493,0.5625,1.125,0.684,3.6311101455572454,2.5444275472517925
38,2.8230921129050994,0.204,0.408,0.882,5.857484249402563,0.39756680425809254
39,0.9757230804971543,0.399,0.798,0.954,5.67195307408212,0.7421247012817728
40,0.5073760018585202,0.5325,1.065,0.636,0.3710623506408864,3.233543341299153
41,3.1613427808107795,0.087,0.174,1.194,2.1998696502281123,1.8023028459700197
42,2.237658264606807,0.3915,0.783,0.402,6.520095589832718,0.07951336085161852
43,4.644441863166454,0.123,0.246,0.366,0.9806647838366284,3.7636324136432764
44,1.7823208270414683,0.528,1.056,0.066,5.221377362589616,0.5035846187269173
45,0.06504820536647694,0.729,1.458,0.054,2.2793830110797306,1.669780577883989
46,0.19514461609943085,0.597,1.194,0.522,3.3925700630023896,1.0866825983054529
47,2.3807643164130563,0.351,0.702,0.498,0.34455789702368017,5.53943080599609
48,3.2394006272505522,0.15,0.3,0.906,4.929828372800348,0.1855311753204432
49,4.761528632826113,0.1275,0.255,0.294,5.009341733651966,0.15902672170323703
50,4.423277964920432,0.048,0.096,0.768,0.3710623506408864,3.1805344340647403
51,2.732024625392032,0.081,0.162,1.416,1.9348251140560506,4.267217032370193
52,0.637472412591474,0.4335,0.867,0.972,5.141864001737996,0.6891157940473603
53,2.289696828899989,0.4185,0.837,0.27,6.3080599608950685,0.29154898978926785
54,0.19514461609943085,0.6615,1.323,0.264,6.255051053660656,0.34455789702368017
55,1.7172726216749914,0.1665,0.333,1.542,2.120356289376494,1.8288072995872258
56,1.6652340573818099,0.3045,0.609,1.014,4.744297197479905,1.7492939387356072
57,0.07805784643977233,0.6645,1.329,0.306,6.281555507277862,0.29154898978926785
58,0.9497037983505635,0.3585,0.717,1.128,4.479252661307843,1.537258309797958
59,3.967940527355094,0.2895,0.579,0.012,0.8481425157505974,4.876819465565935
60,3.304448832617029,0.1545,0.309,0.858,2.332391918314143,2.49141864001738
61,2.1205714949471486,0.1395,0.279,1.464,4.532261568542255,0.6891157940473603
62,3.8508537576954356,0.2055,0.411,0.402,1.3517271344775148,1.9878340212904626
63,0.5333952840051109,0.204,0.408,1.938,1.9083206604388443,3.8431457744948947
64,2.0555232895806714,0.405,0.81,0.432,0.23854008255485554,1.4312404953291331
65,0.7285399001045418,0.657,1.314,0.036,3.3660656093851835,2.623940908103411
66,1.6652340573818099,0.507,1.014,0.204,6.09602433195742,0.15902672170323703
67,2.810082471831804,0.27,0.54,0.624,5.618944166847708,0.4240712578752987
68,3.3955163201300964,0.2955,0.591,0.252,0.05300890723441234,1.4577449489463392
69,1.2098966198164711,0.471,0.942,0.558,4.479252661307843,1.9613295676732567
70,1.6912533395284006,0.3885,0.777,0.666,5.247881816206822,0.3710623506408864
71,0.6504820536647695,0.471,0.942,0.816,5.380404084292852,0.4240712578752987
72,1.4440701591357883,0.351,0.702,0.93,0.9276558766022159,4.028676949815338
73,1.769311185968173,0.0045,0.009,2.166,1.3517271344775148,4.691288290245492
74,1.300964107329539,0.261,0.522,1.356,2.4384097327829677,3.127525526830328
75,3.7858055523289584,0.2025,0.405,0.444,6.22854660004345,0.05300890723441234
76,1.0667905680102219,0.5085,1.017,0.474,1.5902672170323702,0.4505757114925049
77,0.22116389824602162,0.0285,0.057,2.784,4.532261568542255,1.113187051922659
78,4.397258682773842,0.174,0.348,0.276,1.3252226808603087,1.4312404953291331
79,0.0,0.714,1.428,0.144,1.4842494025635455,0.07951336085161852
80,0.22116389824602162,0.6765,1.353,0.192,4.744297197479905,1.8553117532044319
81,0.3122313857590893,0.672,1.344,0.168,3.3925700630023896,2.8624809906582662
82,3.3174584736903245,0.2805,0.561,0.348,4.558766022159461,0.9011514229850098
83,1.9124172377744224,0.2145,0.429,1.26,1.3252226808603087,0.3710623506408864
84,1.040771285863631,0.4245,0.849,0.822,0.8746469693678036,4.9033239191831415
85,1.274944825182948,0.516,1.032,0.348,5.67195307408212,0.9541603302194221
86,0.20815425717272623,0.5835,1.167,0.57,3.7636324136432764,1.8023028459700197
87,3.0312463700778256,0.1995,0.399,0.804,4.585270475776668,1.9348251140560506
88,1.8473690324079453,0.1845,0.369,1.41,4.399739300456225,0.5565935259613295
89,1.9644558020676037,0.399,0.798,0.498,3.8696502281121012,1.6167716706495765
90,5.529097456150541,0.087,0.174,0.102,6.069519878340213,0.34455789702368017
91,0.5333952840051109,0.3915,0.783,1.188,4.293721485987399,2.2528785574625245
92,0.15611569287954466,0.0795,0.159,2.61,5.247881816206822,0.23854008255485554
93,0.234173539319317,0.189,0.378,2.136,5.380404084292852,1.0866825983054529
94,4.956673248925544,0.0435,0.087,0.54,0.768629154898979,1.4577449489463392
95,0.33825066790568015,0.6315,1.263,0.318,5.751466434933739,0.15902672170323703
