,mmol_experiment1_reagent1_chemical1,mmol_experiment1_reagent2_chemical2,mmol_experiment1_reagent2_chemical3,mmol_experiment1_reagent3_chemical3,mmol_experiment1_reagent6_chemical5,mmol_experiment1_reagent7_chemical5
0,3.0312463700778256,0.4305,0.861,1.08,2.5974364544862047,3.2070388876819464
1,6.3877337669880365,0.3,0.6,0.054,5.857484249402563,0.34455789702368017
2,0.3902892321988617,0.819,1.638,0.744,4.240712578752988,1.8288072995872258
3,1.4440701591357883,0.5595,1.119,1.296,0.9541603302194221,4.505757114925049
4,0.234173539319317,0.0405,0.081,3.93,1.3517271344775148,3.790136867260482
5,7.9098617725635965,0.057,0.114,0.324,4.63827938301108,1.6962850315011948
6,1.8473690324079453,0.576,1.152,1.044,6.281555507277862,0.02650445361720617
7,1.040771285863631,0.8355,1.671,0.378,2.9950032587442976,1.9348251140560506
8,6.231618074108492,0.3165,0.633,0.06,2.1733651966109058,2.1468607429936997
9,4.0850272970147525,0.4455,0.891,0.534,5.459917445144471,0.7156202476645666
10,0.18213497502613546,0.966,1.932,0.252,3.8166413208776886,2.7034542689550296
11,2.8230921129050994,0.7065,1.413,0.072,0.5300890723441235,2.570932000868998
12,4.813567197119294,0.186,0.372,1.236,0.7421247012817728,2.7034542689550296
13,3.421535602276687,0.2505,0.501,1.62,4.028676949815338,2.0938518357592875
14,1.7563015448948778,0.771,1.542,0.306,5.67195307408212,0.6096024331957419
15,0.07805784643977233,1.0305,2.061,0.042,2.3854008255485555,0.7951336085161851
16,3.746776629109072,0.5115,1.023,0.426,3.2070388876819464,0.9541603302194221
17,4.332210477407365,0.381,0.762,0.678,6.493591136215512,0.07951336085161852
18,0.18213497502613546,0.9015,1.803,0.51,4.850315011948729,0.8216380621333913
19,2.0425136485073763,0.6405,1.281,0.696,1.563762763415164,2.676949815337823
20,7.441514693924963,0.1215,0.243,0.282,1.1661959591570714,4.558766022159461
21,6.270646997328377,0.0885,0.177,0.954,4.426243754073431,1.7492939387356072
22,1.600185852015333,0.609,1.218,1.026,6.069519878340213,0.4240712578752987
23,0.09106748751306773,0.8685,1.737,0.684,2.782967629806648,1.5902672170323702
24,5.125798582878383,0.348,0.696,0.444,1.9613295676732567,3.73712796002607
25,4.8525961203391805,0.4785,0.957,0.048,5.247881816206822,0.6626113404301543
26,0.41630851434545246,0.999,1.998,0.012,3.6046056919400393,0.02650445361720617
27,2.250667905680102,0.738,1.476,0.21,0.34455789702368017,2.3854008255485555
28,0.19514461609943085,0.219,0.438,3.234,0.23854008255485554,4.3467303932218115
29,3.9939598095016846,0.153,0.306,1.746,3.4985878774712145,0.4770801651097111
30,1.2489255430363573,0.6735,1.347,0.93,5.141864001737996,0.23854008255485554
31,0.5073760018585202,0.933,1.866,0.234,1.8818162068216382,4.002172496198131
32,4.982692531072135,0.414,0.828,0.246,2.7034542689550296,0.34455789702368017
33,5.099779300731792,0.2835,0.567,0.714,5.963502063871388,0.34455789702368017
34,2.0164943663607855,0.804,1.608,0.054,4.320225939604605,0.21203562893764935
35,1.6652340573818099,0.543,1.086,1.26,1.060178144688247,2.676949815337823
36,4.800557556045998,0.024,0.048,1.89,1.4577449489463392,1.4577449489463392
37,7.64966895109769,0.0315,0.063,0.546,4.744297197479905,0.23854008255485554
38,2.7840631896852135,0.552,1.104,0.708,6.387573321746687,0.07951336085161852
39,0.5073760018585202,0.8115,1.623,0.72,3.1010210732131216,2.464914186400174
40,2.2246486235335117,0.2925,0.585,2.004,2.2793830110797306,2.809472083423854
41,3.1353234986641887,0.4215,0.843,1.068,5.565935259613296,1.0071692374538346
42,0.299221744685794,0.942,1.884,0.294,3.9226591353465134,2.49141864001738
43,0.8065977465443142,0.681,1.362,1.104,0.6361068868129481,5.062350640886379
44,3.3955163201300964,0.162,0.324,1.986,0.4240712578752987,5.592439713230502
45,6.075502381228947,0.2265,0.453,0.492,3.7106235064088637,1.0866825983054529
46,2.198629341386921,0.747,1.494,0.198,5.353899630675646,1.1927004127742777
47,0.3772795911255663,1.0065,2.013,0.0,2.0673473821420814,2.809472083423854
48,0.4553374375653386,0.486,0.972,2.046,2.8889854442754728,0.1855311753204432
49,3.1613427808107795,0.357,0.714,1.314,6.175537692809038,0.31805344340647407
50,0.8065977465443142,0.876,1.752,0.324,4.532261568542255,0.8216380621333913
51,0.4553374375653386,0.6165,1.233,1.524,1.24570932000869,3.286552248533565
52,3.6947380648158905,0.0975,0.195,2.106,0.8481425157505974,1.9613295676732567
53,6.608897665234058,0.129,0.258,0.636,4.134694764284163,2.3058874646969367
54,2.0164943663607855,0.6495,1.299,0.672,5.7779708885509455,0.6096024331957419
55,0.5464049250784063,0.909,1.818,0.312,2.49141864001738,2.2793830110797306
56,3.9549308862817982,0.3885,0.777,0.822,1.669780577883989,3.73712796002607
57,1.366012312696016,0.519,1.038,1.494,4.956332826417555,1.0866825983054529
58,0.05203856429318156,1.0395,2.079,0.018,3.3130567021507713,2.9154898978926784
59,0.2601928214659078,0.7785,1.557,0.966,0.02650445361720617,5.486421898761677
60,4.527355093506795,0.2595,0.519,1.074,0.02650445361720617,5.32739517705844
61,6.374724125914741,0.195,0.39,0.48,3.3130567021507713,3.1805344340647403
62,2.666976420025555,0.714,1.428,0.114,4.956332826417555,1.4577449489463392
63,0.2471831803926124,0.9735,1.947,0.192,1.669780577883989,4.452748207690636
64,1.1708676965965852,0.4545,0.909,1.842,2.49141864001738,2.5974364544862047
65,6.205598791961901,0.324,0.648,0.042,5.7779708885509455,0.07951336085161852
66,0.299221744685794,0.8445,1.689,0.684,4.134694764284163,1.0866825983054529
67,3.8638633987687308,0.5835,1.167,0.084,0.8481425157505974,4.558766022159461
68,4.34522011848066,0.0645,0.129,1.938,1.2722137736258963,3.2070388876819464
69,3.603670577302823,0.048,0.096,2.346,4.532261568542255,0.13252226808603088
70,2.5759089325124873,0.5685,1.137,0.738,6.175537692809038,0.23854008255485554
71,0.41630851434545246,0.828,1.656,0.696,2.8889854442754728,2.0938518357592875
72,1.6782436984551052,0.3075,0.615,2.196,2.0673473821420814,1.9083206604388443
73,1.196886978743176,0.438,0.876,1.896,5.353899630675646,1.0336736910710407
74,0.7935881054710187,0.957,1.914,0.006,3.7106235064088637,0.7951336085161851
75,1.873388314554536,0.6975,1.395,0.546,0.4505757114925049,5.618944166847708
76,2.940178882564758,0.1785,0.357,2.13,0.6361068868129481,3.896154681729307
77,4.709490068532931,0.243,0.486,1.056,3.9226591353465134,0.8216380621333913
78,1.4961087234289698,0.7635,1.527,0.456,5.565935259613296,0.29154898978926785
79,0.20815425717272623,1.023,2.046,0.012,2.2793830110797306,3.074516619595916
80,2.289696828899989,0.5025,1.005,1.134,3.1010210732131216,0.4770801651097111
81,3.3304681147636197,0.3735,0.747,1.17,6.387573321746687,0.10601781446882468
82,0.3902892321988617,0.8925,1.785,0.45,4.744297197479905,1.3252226808603087
83,3.2524102683238474,0.633,1.266,0.168,1.4577449489463392,2.4384097327829677
84,1.9254268788477178,0.1125,0.225,2.862,1.060178144688247,4.850315011948729
85,3.200371704030666,0.081,0.162,2.4,4.3467303932218115,1.0336736910710407
86,0.1170867696596585,0.6,1.2,1.746,5.963502063871388,0.10601781446882468
87,0.9757230804971543,0.861,1.722,0.306,2.7034542689550296,3.074516619595916
88,3.109304216517598,0.3405,0.681,1.404,1.8818162068216382,1.0866825983054529
89,2.979207805784644,0.471,0.942,0.942,5.141864001737996,0.7951336085161851
90,0.3512603089789755,0.99,1.98,0.078,3.5250923310884206,1.0866825983054529
91,0.15611569287954466,0.7305,1.461,1.206,0.23854008255485554,4.98283728003476
92,1.1838773376698806,0.21,0.42,2.814,0.34455789702368017,2.517923093634586
93,7.5325821814380305,0.1455,0.291,0.144,3.6046056919400393,2.7299587225722357
94,0.9106748751306772,0.666,1.332,1.116,5.247881816206822,1.0071692374538346
95,0.4032988732721571,0.9255,1.851,0.312,1.9878340212904626,3.6046056919400393
