,mmol_experiment1_reagent1_chemical1,mmol_experiment1_reagent2_chemical2,mmol_experiment1_reagent2_chemical3,mmol_experiment1_reagent3_chemical3,mmol_experiment1_reagent6_chemical5
0,2.8621210361249854,0.072,0.144,1.044,1.404736041711927
1,0.936694157277268,0.4425,0.885,0.5985,1.0071692374538346
2,0.19514461609943085,0.6285,1.257,0.297,4.267217032370193
3,1.196886978743176,0.258,0.516,1.062,5.910493156636976
4,0.8976652340573819,0.351,0.702,0.8865,2.6504453617206174
5,0.234173539319317,0.7215,1.443,0.0045,1.8288072995872258
6,1.2879544662562437,0.5355,1.071,0.198,5.088855094503585
7,3.1873620629573707,0.165,0.33,0.6525,3.4720834238540084
8,1.704262980601696,0.1185,0.237,1.305,0.1855311753204432
9,1.9124172377744224,0.489,0.978,0.1215,0.13252226808603088
10,0.33825066790568015,0.675,1.35,0.108,3.419074516619596
11,3.7858055523289584,0.3045,0.609,0.027,5.035846187269172
12,0.5073760018585202,0.2115,0.423,1.44,1.7757983923528133
13,1.4570798002090837,0.582,1.164,0.0,2.5974364544862047
14,1.470089441282379,0.396,0.792,0.5535,5.857484249402563
15,5.216866070391451,0.0255,0.051,0.369,4.240712578752988
16,4.800557556045998,0.0195,0.039,0.531,0.9541603302194221
17,0.6114531304448833,0.3915,0.783,0.864,1.3517271344775148
18,1.3920315948426067,0.576,1.152,0.0405,4.63827938301108
19,1.7953304681147637,0.2055,0.411,1.0125,6.281555507277862
20,3.5776512951562323,0.2985,0.597,0.117,2.9950032587442976
21,0.4032988732721571,0.669,1.338,0.1035,2.1733651966109058
22,0.3122313857590893,0.483,0.966,0.693,5.459917445144471
23,2.745034266465327,0.1125,0.225,0.963,3.8166413208776886
24,0.6114531304448833,0.159,0.318,1.5615,0.5300890723441235
25,1.2098966198164711,0.5295,1.059,0.243,0.7421247012817728
26,0.2471831803926124,0.7155,1.431,0.018,4.028676949815338
27,2.9141596004181674,0.345,0.69,0.207,5.67195307408212
28,3.0962945754443028,0.252,0.504,0.423,2.3854008255485555
29,0.7415495411778372,0.6225,1.245,0.126,3.2070388876819464
30,2.5238703682193053,0.438,0.876,0.063,6.493591136215512
31,0.15611569287954466,0.066,0.132,1.998,4.850315011948729
32,1.873388314554536,0.09,0.18,1.332,1.563762763415164
33,1.9384365199210132,0.4605,0.921,0.198,1.1661959591570714
34,0.1300964107329539,0.6465,1.293,0.2655,4.426243754073431
35,3.9159019630619123,0.2745,0.549,0.072,6.069519878340213
36,2.901149959344872,0.3675,0.735,0.144,2.782967629806648
37,0.06504820536647694,0.7395,1.479,0.009,1.9613295676732567
38,0.936694157277268,0.5535,1.107,0.2655,5.247881816206822
39,3.2524102683238474,0.1815,0.363,0.5805,3.6046056919400393
40,2.1856197003136253,0.135,0.27,1.089,0.34455789702368017
41,0.7805784643977234,0.507,1.014,0.459,0.23854008255485554
42,0.234173539319317,0.693,1.386,0.09,3.4985878774712145
43,0.9887327215704496,0.321,0.642,0.945,5.141864001737996
44,1.2879544662562437,0.228,0.456,1.1205,1.8818162068216382
45,1.0667905680102219,0.6,1.2,0.081,2.7034542689550296
46,1.8473690324079453,0.414,0.828,0.369,5.963502063871388
47,5.750261354396562,0.0435,0.087,0.1305,4.320225939604605
48,3.1743524218840746,0.0315,0.063,1.0575,1.060178144688247
49,2.2636775467533976,0.402,0.804,0.261,1.4577449489463392
50,0.5333952840051109,0.588,1.176,0.3015,4.744297197479905
51,1.6912533395284006,0.2175,0.435,1.0125,6.387573321746687
52,1.1448484144499944,0.309,0.618,0.927,3.1010210732131216
53,0.234173539319317,0.681,1.362,0.126,2.2793830110797306
54,1.470089441282379,0.495,0.99,0.2565,5.565935259613296
55,2.549889650365896,0.1245,0.249,0.9945,3.9226591353465134
56,4.436287605993728,0.171,0.342,0.2025,0.6361068868129481
57,1.405041235915902,0.5415,1.083,0.1395,0.4240712578752987
58,0.1431060518062493,0.7275,1.455,0.018,3.7106235064088637
59,0.7935881054710187,0.3555,0.711,0.909,5.353899630675646
60,1.4830990823556744,0.264,0.528,0.945,2.0673473821420814
61,0.15611569287954466,0.6345,1.269,0.2925,2.8889854442754728
62,2.211638982460216,0.4485,0.897,0.1395,6.175537692809038
63,3.616680218376118,0.078,0.156,0.765,4.532261568542255
64,5.281914275757928,0.054,0.108,0.261,1.24570932000869
65,2.445812521779533,0.426,0.852,0.126,0.8481425157505974
66,0.8196073876176095,0.612,1.224,0.1305,4.134694764284163
67,3.1873620629573707,0.24,0.48,0.4275,5.7779708885509455
68,0.22116389824602162,0.333,0.666,1.1745,2.49141864001738
69,0.2601928214659078,0.7035,1.407,0.0495,1.669780577883989
70,0.598443489371588,0.519,1.038,0.486,4.956332826417555
71,2.8361017539783946,0.147,0.294,0.828,3.3130567021507713
72,5.516087815077245,0.1005,0.201,0.0405,0.02650445361720617
73,1.0537809269369265,0.4725,0.945,0.468,0.02650445361720617
74,0.468347078638634,0.6585,1.317,0.1125,3.3130567021507713
75,1.5481472877221514,0.2865,0.573,0.855,4.956332826417555
