,mmol_experiment1_reagent1_chemical1,mmol_experiment1_reagent2_chemical2,mmol_experiment1_reagent2_chemical3,mmol_experiment1_reagent3_chemical3,mmol_experiment1_reagent6_chemical5
0,0.6114531304448833,0.6795,1.359,0.0,5.32739517705844
1,3.1483331397374843,0.309,0.618,0.312,3.6841190527916576
2,0.9887327215704496,0.216,0.432,1.68,0.39756680425809254
3,0.3122313857590893,0.588,1.176,0.504,0.29154898978926785
4,2.979207805784644,0.402,0.804,0.018,3.578101238322833
5,4.644441863166454,0.03,0.06,0.738,5.221377362589616
6,4.670461145313045,0.042,0.084,0.678,1.9348251140560506
7,2.3287257521198748,0.414,0.828,0.27,2.7564631761894414
8,0.3772795911255663,0.5985,1.197,0.432,6.043015424723007
9,2.0295040074340807,0.228,0.456,1.152,4.399739300456225
10,2.094552212800558,0.321,0.642,0.75,1.113187051922659
11,0.10407712858636312,0.6915,1.383,0.186,1.537258309797958
12,0.0,0.5055,1.011,0.978,4.797306104714316
13,2.5628992914391917,0.135,0.27,1.278,6.440582228981099
14,2.4848414449994194,0.1815,0.363,1.128,3.1540299804475342
15,0.8846555929840865,0.552,1.104,0.384,2.332391918314143
16,0.039028923219886165,0.738,1.476,0.03,5.618944166847708
17,0.702520617957951,0.3675,0.735,1.206,3.975668042580925
18,0.6895109768846557,0.2745,0.549,1.584,0.7156202476645666
19,0.10407712858636312,0.645,1.29,0.372,0.5035846187269173
20,0.6765013358113603,0.4605,0.921,0.846,3.790136867260482
21,0.039028923219886165,0.0885,0.177,2.628,5.433412991527265
22,2.406783598559647,0.066,0.132,1.626,2.1468607429936997
23,1.4180508769891973,0.4365,0.873,0.6,2.968498805127091
24,0.0,0.6225,1.245,0.51,6.22854660004345
25,3.941921245208503,0.2505,0.501,0.18,4.6117749293938735
26,1.4440701591357883,0.3435,0.687,0.96,1.3252226808603087
27,0.19514461609943085,0.7155,1.431,0.048,0.9011514229850098
28,0.8976652340573819,0.5295,1.059,0.468,4.187703671518575
29,4.2671622720408875,0.1575,0.315,0.402,5.830979795785357
30,0.3642699500522709,0.1125,0.225,2.382,2.5444275472517925
31,1.5481472877221514,0.483,0.966,0.354,1.722789485118401
32,0.27320246253920316,0.669,1.338,0.198,5.009341733651966
33,0.5073760018585202,0.297,0.594,1.578,3.3660656093851835
34,0.9887327215704496,0.204,0.408,1.728,0.07951336085161852
35,0.9497037983505635,0.576,1.152,0.258,0.10601781446882468
36,2.4978510860727146,0.39,0.78,0.288,3.3925700630023896
37,1.808340109188059,0.0195,0.039,2.088,5.035846187269172
38,1.8863979556278314,0.0255,0.051,2.028,1.7492939387356072
39,1.808340109188059,0.396,0.792,0.582,2.570932000868998
40,1.235915901963062,0.582,1.164,0.102,5.857484249402563
41,2.3807643164130563,0.21,0.42,1.062,4.214208125135781
