,mmol_experiment1_reagent1_chemical1,mmol_experiment1_reagent2_chemical2,mmol_experiment1_reagent2_chemical3,mmol_experiment1_reagent3_chemical3,mmol_experiment1_reagent6_chemical5,mmol_experiment1_reagent7_chemical5
0,0.1431060518062493,0.7035,1.407,1.32,1.2722137736258963,3.6046056919400393
1,0.1300964107329539,0.9645,1.929,0.282,0.8481425157505974,2.3854008255485555
2,4.982692531072135,0.444,0.888,0.126,4.134694764284163,0.15902672170323703
3,3.5516320130096415,0.3135,0.627,1.308,5.7779708885509455,0.5830979795785357
4,0.41630851434545246,0.834,1.668,0.672,2.49141864001738,1.0071692374538346
5,3.1223138575908935,0.5745,1.149,0.462,1.669780577883989,2.0938518357592875
6,7.584620745731212,0.054,0.108,0.486,4.956332826417555,0.768629154898979
7,7.233360436752236,0.0375,0.075,0.714,3.3130567021507713,2.83597653704106
8,1.9254268788477178,0.558,1.116,1.08,0.02650445361720617,6.175537692809038
9,1.0667905680102219,0.8175,1.635,0.438,0.02650445361720617,4.9033239191831415
10,1.040771285863631,0.2985,0.597,2.526,3.3130567021507713,1.0336736910710407
11,5.359972122197701,0.4275,0.855,0.018,4.956332826417555,1.5107538561807516
12,0.1170867696596585,0.948,1.896,0.354,1.669780577883989,4.214208125135781
13,2.6929957021721456,0.687,1.374,0.21,2.49141864001738,2.1733651966109058
14,2.068532930653967,0.168,0.336,2.574,5.7779708885509455,0.768629154898979
15,0.468347078638634,0.2325,0.465,3.054,4.134694764284163,2.2793830110797306
16,2.276687187826693,0.753,1.506,0.138,0.8481425157505974,5.512926352378883
17,0.09106748751306773,1.0125,2.025,0.108,1.2722137736258963,3.286552248533565
18,2.927169241491463,0.4935,0.987,0.876,4.558766022159461,1.0866825983054529
19,0.637472412591474,0.363,0.726,2.454,6.202042146426243,0.3710623506408864
20,0.8456266697642003,0.882,1.764,0.282,2.9154898978926784,2.0408429285248753
21,1.9384365199210132,0.6225,1.245,0.816,2.0938518357592875,1.3252226808603087
22,2.8621210361249854,0.1035,0.207,2.466,5.380404084292852,0.34455789702368017
23,8.065977465443142,0.0705,0.141,0.198,3.73712796002607,2.120356289376494
24,2.1856197003136253,0.5895,1.179,0.834,0.4505757114925049,2.517923093634586
25,1.405041235915902,0.8505,1.701,0.15,0.6626113404301543,5.512926352378883
26,0.10407712858636312,0.33,0.66,2.832,3.9226591353465134,1.1396915055398653
27,3.0312463700778256,0.4605,0.921,0.96,5.565935259613296,0.13252226808603088
28,0.48135671971192945,0.9795,1.959,0.06,2.3058874646969367,2.5974364544862047
29,0.8456266697642003,0.72,1.44,0.93,3.1010210732131216,2.782967629806648
30,3.005227087931235,0.201,0.402,2.01,6.387573321746687,0.1855311753204432
31,7.779765361830643,0.135,0.27,0.072,4.744297197479905,1.4312404953291331
32,0.1431060518062493,0.6555,1.311,1.512,1.4842494025635455,1.4312404953291331
33,0.7285399001045418,0.915,1.83,0.204,1.060178144688247,2.3588963719313494
34,3.0572656522244164,0.396,0.792,1.206,4.3467303932218115,0.7951336085161851
35,4.319200836334069,0.2655,0.531,1.146,5.990006517488595,0.23854008255485554
36,2.1596004181670345,0.7845,1.569,0.066,2.7034542689550296,0.34455789702368017
