,mmol_experiment1_reagent1_chemical1,mmol_experiment1_reagent2_chemical2,mmol_experiment1_reagent2_chemical3,mmol_experiment1_reagent3_chemical3,mmol_experiment1_reagent6_chemical5,mmol_experiment1_reagent7_chemical5
0,3.6817284237425953,0.126,0.252,1.998,0.05300890723441234,3.286552248533565
1,1.0667905680102219,0.645,1.29,1.128,0.05300890723441234,4.850315011948729
2,0.32524102683238476,0.9045,1.809,0.432,3.339561155767978,0.5035846187269173
3,3.044256011151121,0.3855,0.771,1.254,4.98283728003476,0.10601781446882468
4,2.84911139505169,0.5145,1.029,0.828,1.6962850315011948,4.134694764284163
5,0.06504820536647694,1.035,2.07,0.03,2.517923093634586,4.0551814034325435
6,1.2879544662562437,0.7755,1.551,0.504,5.804475342168152,0.02650445361720617
7,5.125798582878383,0.255,0.51,0.816,4.161199217901369,1.6962850315011948
8,5.125798582878383,0.1905,0.381,1.074,0.8746469693678036,3.9491635889637196
9,1.4440701591357883,0.7095,1.419,0.696,1.2722137736258963,4.028676949815338
10,0.468347078638634,0.9705,1.941,0.102,4.558766022159461,0.23854008255485554
11,0.18213497502613546,0.45,0.9,2.316,6.202042146426243,0.26504453617206175
12,0.8326170286909049,0.3195,0.639,2.538,2.9154898978926784,2.3058874646969367
13,0.7285399001045418,0.84,1.68,0.504,2.0938518357592875,3.9491635889637196
14,1.2229062608897665,0.5805,1.161,1.314,5.380404084292852,0.6361068868129481
15,6.322685561621559,0.06,0.12,1.044,3.73712796002607,0.7951336085161851
16,6.7650133581136025,0.0435,0.087,0.906,0.4505757114925049,5.406908537910059
17,2.51086072714601,0.564,1.128,0.786,0.6626113404301543,4.823810558331523
18,1.8863979556278314,0.8235,1.647,0.036,3.9491635889637196,1.669780577883989
19,4.124056220234638,0.3045,0.609,1.08,5.592439713230502,0.8481425157505974
20,1.470089441282379,0.4335,0.867,1.788,2.3058874646969367,2.83597653704106
21,0.6895109768846557,0.954,1.908,0.066,3.127525526830328,2.968498805127091
22,0.33825066790568015,0.6945,1.389,1.266,6.414077775363893,0.07951336085161852
23,1.6262051341619237,0.174,0.348,2.754,4.770801651097111,0.02650445361720617
24,0.4032988732721571,0.2385,0.477,3.06,1.4842494025635455,3.3925700630023896
25,0.598443489371588,0.759,1.518,0.888,1.0866825983054529,5.115359548120791
26,0.234173539319317,1.0185,2.037,0.018,4.3467303932218115,1.6167716706495765
27,1.0928098501568126,0.4995,0.999,1.698,5.990006517488595,0.1855311753204432
28,4.943663607852248,0.369,0.738,0.444,2.7299587225722357,0.768629154898979
29,0.9757230804971543,0.888,1.776,0.198,1.9083206604388443,4.134694764284163
30,0.7415495411778372,0.6285,1.257,1.344,5.168368455355203,1.2987182272431024
31,3.538622371936346,0.1095,0.219,2.13,3.5250923310884206,0.02650445361720617
32,5.2298757114647465,0.0765,0.153,1.482,0.26504453617206175,5.512926352378883
33,2.3547450342664655,0.597,1.194,0.726,0.3710623506408864,4.293721485987399
34,1.1318387733766988,0.8565,1.713,0.252,3.6311101455572454,0.3710623506408864
35,2.0164943663607855,0.336,0.672,1.926,5.274386269824028,1.2987182272431024
36,1.8603786734812406,0.4665,0.933,1.476,1.9878340212904626,1.0336736910710407
37,0.32524102683238476,0.9855,1.971,0.108,2.809472083423854,1.5107538561807516
38,1.0667905680102219,0.726,1.452,0.804,6.09602433195742,0.13252226808603088
39,3.2133813451039615,0.207,0.414,1.89,4.452748207690636,0.31805344340647407
40,2.5238703682193053,0.141,0.282,2.472,1.1661959591570714,1.7492939387356072
41,3.1873620629573707,0.6615,1.323,0.084,1.5902672170323702,3.2070388876819464
42,0.7805784643977234,0.921,1.842,0.156,4.876819465565935,0.5035846187269173
43,1.9254268788477178,0.402,0.804,1.704,6.520095589832718,0.05300890723441234
44,6.621907306307353,0.2715,0.543,0.06,3.233543341299153,2.9154898978926784
45,2.094552212800558,0.7905,1.581,0.072,2.4119052791657616,2.782967629806648
46,3.3434777558369153,0.531,1.062,0.534,5.698457527699326,0.26504453617206175
47,3.3304681147636197,0.012,0.024,2.616,4.0551814034325435,0.5830979795785357
48,2.4197932396329422,0.009,0.018,3.048,0.768629154898979,5.804475342168152
49,3.746776629109072,0.5295,1.059,0.354,0.5565935259613295,5.53943080599609
50,0.598443489371588,0.789,1.578,0.768,3.8431457744948947,0.8746469693678036
51,1.0928098501568126,0.27,0.54,2.616,5.486421898761677,0.21203562893764935
52,1.9384365199210132,0.399,0.798,1.71,2.1998696502281123,1.6432761242667826
53,0.7285399001045418,0.9195,1.839,0.186,3.0215077123615033,2.0673473821420814
54,0.468347078638634,0.66,1.32,1.344,6.3080599608950685,0.02650445361720617
55,4.48832617028691,0.1395,0.279,1.572,4.664783836628286,1.4842494025635455
