,mmol_experiment1_reagent1_chemical1,mmol_experiment1_reagent2_chemical2,mmol_experiment1_reagent2_chemical3,mmol_experiment1_reagent3_chemical3,mmol_experiment1_reagent6_chemical5,mmol_experiment1_reagent7_chemical5,mmol_experiment2_reagent1_chemical1,mmol_experiment2_reagent4_chemical2,mmol_experiment2_reagent4_chemical4,mmol_experiment2_reagent5_chemical4,mmol_experiment2_reagent6_chemical5,mmol_experiment2_reagent7_chemical5
52,0.0,0.0,0.0,0.0,0.0,0.0,4.917644325705657,2.112,1.4784,11.588400000000002,20.96502281121008,5.53943080599609
53,0.0,0.0,0.0,0.0,0.0,0.0,1.5611569287954468,5.082,3.5573999999999995,2.5086,7.845318270693027,18.659135346513143
54,0.0,0.0,0.0,0.0,0.0,0.0,9.39296085491927,3.596,2.5172,3.552,11.105366065609385,15.399087551596786
55,0.0,0.0,0.0,0.0,0.0,0.0,18.044372168660708,0.626,0.4382,9.62,24.22507060612644,2.2793830110797306
56,0.0,0.0,0.0,0.0,0.0,0.0,16.066906725519807,0.44,0.308,11.433,17.678470562676516,8.825983054529656
57,0.0,0.0,0.0,0.0,0.0,0.0,3.083284934371007,3.41,2.387,7.829200000000001,4.558766022159461,21.945687595046707
58,0.0,0.0,0.0,0.0,0.0,0.0,3.2914391915437338,4.896,3.4272,2.2126,6.202042146426243,20.302411470779926
59,0.0,0.0,0.0,0.0,0.0,0.0,17.61505401324196,1.926,1.3481999999999998,5.0542,19.321746686943296,7.1827069302628725
60,0.0,0.0,0.0,0.0,0.0,0.0,8.924613776280637,2.668,1.8676,7.252,25.868346730393224,0.6096024331957419
61,0.0,0.0,0.0,0.0,0.0,0.0,1.5221280055755606,5.638,3.9466,0.4736,12.748642189876167,13.755811427330002
62,0.0,0.0,0.0,0.0,0.0,0.0,0.8846555929840865,4.154,2.9078,6.327,9.462089941342603,17.04236367586357
63,0.0,0.0,0.0,0.0,0.0,0.0,18.135439656173773,1.184,0.8288,7.5036000000000005,22.58179448185966,3.896154681729307
64,0.0,0.0,0.0,0.0,0.0,0.0,22.649785108607272,0.812,0.5684,6.312200000000001,16.035194438409732,10.469259178796438
65,0.0,0.0,0.0,0.0,0.0,0.0,11.903821582065282,3.782,2.6473999999999998,1.4356000000000002,2.9154898978926784,23.58896371931349
66,0.0,0.0,0.0,0.0,0.0,0.0,1.2619351841096527,5.268,3.6875999999999998,1.9906000000000001,2.0938518357592875,24.410601781446882
67,0.0,0.0,0.0,0.0,0.0,0.0,0.5594145661517017,2.298,1.6085999999999998,13.3792,15.213556376276342,11.264392787312623
68,0.0,0.0,0.0,0.0,0.0,0.0,7.19433151353235,1.554,1.0877999999999999,12.358,21.76015641972627,4.717792743862699
69,0.0,0.0,0.0,0.0,0.0,0.0,2.445812521779533,4.524,3.1668,4.07,8.64045187920921,17.864001737996958
70,0.0,0.0,0.0,0.0,0.0,0.0,3.6817284237425953,3.04,2.128,8.857800000000001,11.927004127742777,14.577449489463394
71,0.0,0.0,0.0,0.0,0.0,0.0,23.794633523057264,0.07,0.049,8.4064,25.046708668259832,1.4312404953291331
72,0.0,0.0,0.0,0.0,0.0,0.0,10.459751422929493,0.058,0.0406,16.035800000000002,18.500108624809904,8.004344992396263
73,0.0,0.0,0.0,0.0,0.0,0.0,8.482285979788594,3.028,2.1195999999999997,6.171600000000001,5.380404084292852,21.124049532913318
74,0.0,0.0,0.0,0.0,0.0,0.0,0.42931815541874785,4.514,3.1597999999999997,5.254,3.73712796002607,22.7673256571801
75,0.0,0.0,0.0,0.0,0.0,0.0,15.546521082587992,1.544,1.0808,7.6442000000000005,16.856832500543124,9.647621116663046
76,0.0,0.0,0.0,0.0,0.0,0.0,3.83784411662214,2.286,1.6001999999999998,11.558800000000002,23.40343254399305,3.1010210732131216
77,0.0,0.0,0.0,0.0,0.0,0.0,0.468347078638634,5.256,3.6792,2.4864,10.283728003475993,16.220725613730174
78,0.0,0.0,0.0,0.0,0.0,0.0,11.643628760599373,3.77,2.639,1.628,7.023680208559636,19.480773408646535
79,0.0,0.0,0.0,0.0,0.0,0.0,26.188407480543617,0.8,0.56,4.3438,20.143384749076688,6.361068868129481
80,0.0,0.0,0.0,0.0,0.0,0.0,7.87083284934371,1.172,0.8204,13.3866,13.570280252009558,12.934173365196612
81,0.0,0.0,0.0,0.0,0.0,0.0,3.4735741665698687,4.142,2.8993999999999995,4.8988000000000005,0.4505757114925049,26.053877905713666
82,0.0,0.0,0.0,0.0,0.0,0.0,0.9236845162039726,5.626,3.9381999999999997,0.8584,0.34455789702368017,26.15989572018249
83,0.0,0.0,0.0,0.0,0.0,0.0,17.589034731095367,2.656,1.8591999999999997,2.368,13.464262437540734,13.040191179665436
84,0.0,0.0,0.0,0.0,0.0,0.0,24.06783598559647,1.914,1.3397999999999999,1.4282000000000001,20.037366934607864,6.467086682598306
85,0.0,0.0,0.0,0.0,0.0,0.0,4.4623068881403185,4.884,3.4187999999999996,1.591,6.917662394090811,19.58679122311536
86,0.0,0.0,0.0,0.0,0.0,0.0,11.110233476594264,3.4,2.38,3.3004000000000002,10.17771018900717,16.326743428199002
87,0.0,0.0,0.0,0.0,0.0,0.0,12.762457892902777,0.43,0.301,13.3496,23.297414729524224,3.2070388876819464
88,0.0,0.0,0.0,0.0,0.0,0.0,8.846555929840864,0.614,0.42979999999999996,14.8962,16.7508146860743,9.75363893113187
89,0.0,0.0,0.0,0.0,0.0,0.0,5.438029968637473,3.584,2.5088,5.846,3.6311101455572454,22.873343471648926
90,0.0,0.0,0.0,0.0,0.0,0.0,5.19084678824486,5.07,3.549,0.48840000000000006,5.274386269824028,21.23006734738214
91,0.0,0.0,0.0,0.0,0.0,0.0,3.304448832617029,2.1,1.47,12.550400000000002,18.394090810341083,8.083858353247882
92,0.0,0.0,0.0,0.0,0.0,0.0,15.702636775467536,2.842,1.9893999999999998,2.7528,24.940690853791004,1.563762763415164
93,0.0,0.0,0.0,0.0,0.0,0.0,0.8456266697642003,5.812,4.0684,0.2146,11.820986313273952,14.683467303932218
94,0.0,0.0,0.0,0.0,0.0,0.0,5.568126379370427,4.328,3.0296,3.0192,8.560938518357592,17.943515098848575
95,0.0,0.0,0.0,0.0,0.0,0.0,9.327912649552795,1.358,0.9505999999999999,11.8696,21.680643058874647,4.823810558331523
