,mmol_experiment1_reagent1_chemical1,mmol_experiment1_reagent2_chemical2,mmol_experiment1_reagent2_chemical3,mmol_experiment1_reagent3_chemical3,mmol_experiment1_reagent6_chemical5
0,3.1353234986641887,0.186,0.372,0.6075,2.7299587225722357
1,3.7858055523289584,0.1395,0.279,0.522,1.9083206604388443
2,1.9514461609943086,0.5115,1.023,0.0405,5.168368455355203
3,0.01300964107329539,0.6975,1.395,0.153,3.5250923310884206
4,2.966198164711349,0.3255,0.651,0.2475,0.26504453617206175
5,4.34522011848066,0.2325,0.465,0.0495,0.3710623506408864
6,0.8976652340573819,0.6045,1.209,0.126,3.6311101455572454
7,2.666976420025555,0.4185,0.837,0.072,5.274386269824028
8,4.540364734580091,0.0465,0.093,0.54,1.9878340212904626
9,4.34522011848066,0.036,0.072,0.639,2.809472083423854
10,0.6114531304448833,0.4065,0.813,0.819,6.09602433195742
11,1.0928098501568126,0.5925,1.185,0.0945,4.452748207690636
12,1.0147520037170403,0.222,0.444,1.233,1.1661959591570714
13,0.767568823324428,0.3135,0.627,1.044,1.5902672170323702
14,0.33825066790568015,0.6855,1.371,0.0765,4.876819465565935
15,1.0667905680102219,0.4995,0.999,0.3825,6.520095589832718
16,2.302706469973284,0.129,0.258,1.0665,3.233543341299153
17,2.8621210361249854,0.1755,0.351,0.7335,2.4119052791657616
18,0.7285399001045418,0.546,1.092,0.36,5.698457527699326
19,0.05203856429318156,0.732,1.464,0.036,4.0551814034325435
20,3.1743524218840746,0.36,0.72,0.072,0.768629154898979
21,3.83784411662214,0.267,0.534,0.1215,0.5565935259613295
22,0.3902892321988617,0.639,1.278,0.198,3.8431457744948947
23,0.6765013358113603,0.453,0.906,0.657,5.486421898761677
24,2.367754675339761,0.0825,0.165,1.1835,2.1998696502281123
25,2.927169241491463,0.0585,0.117,1.062,3.0215077123615033
26,2.1856197003136253,0.4305,0.861,0.2025,6.3080599608950685
27,0.5203856429318156,0.615,1.23,0.225,4.664783836628286
28,2.745034266465327,0.2445,0.489,0.567,1.3782315880947207
29,1.040771285863631,0.3375,0.675,0.8775,0.9806647838366284
30,0.234173539319317,0.708,1.416,0.045,4.267217032370193
31,1.8343593913346499,0.5235,1.047,0.045,5.88398870301977
32,3.2394006272505522,0.1515,0.303,0.675,2.623940908103411
33,0.6244627715181786,0.105,0.21,1.719,1.8023028459700197
34,1.9254268788477178,0.477,0.954,0.153,5.062350640886379
35,0.48135671971192945,0.6615,1.323,0.099,3.445578970236802
36,3.642699500522709,0.291,0.582,0.117,0.15902672170323703
37,0.9757230804971543,0.198,0.396,1.3185,0.21203562893764935
38,1.3139737484028344,0.57,1.14,0.0855,3.4985878774712145
39,1.5221280055755606,0.384,0.768,0.5715,5.115359548120791
40,2.393773957486352,0.012,0.024,1.386,1.8553117532044319
41,3.5906609362295274,0.009,0.018,0.981,2.676949815337823
42,0.5464049250784063,0.381,0.762,0.918,5.936997610254182
43,0.5724242072249972,0.567,1.134,0.351,4.293721485987399
44,3.2394006272505522,0.195,0.39,0.5445,1.0336736910710407
45,0.9106748751306772,0.288,0.576,1.071,1.4312404953291331
46,0.6114531304448833,0.6585,1.317,0.063,4.717792743862699
47,0.1170867696596585,0.474,0.948,0.7875,6.361068868129481
48,1.4830990823556744,0.102,0.204,1.431,3.074516619595916
49,2.9531885236380537,0.1485,0.297,0.783,2.2528785574625245
50,0.2862121036124986,0.5205,1.041,0.5895,5.53943080599609
51,0.20815425717272623,0.705,1.41,0.063,3.896154681729307
52,1.366012312696016,0.3345,0.669,0.774,0.6096024331957419
53,2.3547450342664655,0.2415,0.483,0.711,0.8216380621333913
54,0.9887327215704496,0.6135,1.227,0.0675,4.108190310666956
55,1.470089441282379,0.4275,0.855,0.459,5.751466434933739
56,4.566384016726682,0.0555,0.111,0.504,2.464914186400174
57,0.6634916947380649,0.0795,0.159,1.782,3.286552248533565
58,1.3139737484028344,0.45,0.9,0.4455,6.57310449706713
59,0.1300964107329539,0.636,1.272,0.297,4.929828372800348
