,chemical1 [M],chemical2 [M],chemical3 [M],chemical4 [M],chemical5 [M]
0,6.154261346049915,0.38802395209580837,1.415568862275449,0.0,4.285151183620159
1,3.089970243823766,0.5027746947835738,2.230854605993341,0.0,5.912758243128125
2,0.5601567738770888,1.0479009687836385,2.1668460710441333,0.0,6.533390611776332
3,1.5618009704327385,0.8818069306930694,2.714108910891089,0.0,3.542674493388944
4,7.74562445404292,0.22369942196531792,0.8358381502890174,0.0,5.055762828715627
5,5.1516530121285875,0.27243928194297784,1.5142555438225977,0.0,6.912988430253352
6,1.5091742598452222,0.8361976369495165,2.1428571428571423,0.0,6.576293002765441
7,0.10638725176760248,1.2126168224299065,2.432242990654206,0.0,4.83025089285533
8,3.244339771380116,0.6420595533498759,2.4305210918114146,0.0,3.485697373975005
9,4.388966823628225,0.42692307692307696,1.7373626373626374,0.0,6.116412373201424
10,0.02747548273135246,0.9582893347412883,2.505807814149948,0.0,6.9129884302533515
11,3.5254606521682517,0.6886291179596173,1.4601487778958557,0.0,6.788069417371613
12,7.878683494818975,0.13900862068965517,0.6142241379310346,0.0,6.51187006974462
13,6.996295866083298,0.10666666666666666,1.2266666666666668,0.0,5.889878581601371
14,0.9303318875943646,0.7093425605536332,2.996539792387543,0.0,5.105240777478005
15,1.3209316792247976,1.0342384887839433,2.28099173553719,0.0,4.599946495548178
16,3.8869384700592695,0.3963210702341137,2.0969899665551837,0.0,5.820933514592659
17,0.34386716493291775,0.5352422907488987,3.39647577092511,0.0,6.071504793368814
18,0.11525706377227365,1.112956810631229,2.372093023255814,0.0,5.958365541852549
19,2.4431981441475794,0.8917464114832536,2.1136363636363638,0.0,4.311729296578994
20,1.8521698566764508,0.2579726651480638,3.4134396355353074,0.0,5.373340254968905
21,4.78934041664911,0.17276641550053823,1.9666307857911731,0.0,6.533390611776332
22,1.3258232940937975,0.7229299363057325,2.4012738853503186,0.0,6.808999761532795
23,0.20802624102440354,1.1568265682656826,2.7564575645756455,0.0,3.683890847163958
24,3.9072825270752185,0.47244094488188976,1.9775028121484817,0.0,5.634805099720997
25,1.4023199022442203,0.3105656350053361,3.2145144076840984,0.0,6.703901288450227
26,0.9057345051028436,0.8544303797468356,2.3037974683544307,0.0,6.933654532771234
27,2.889277083025554,0.6680825242718447,2.4283980582524274,0.0,3.9885342822009275
28,4.611365793971513,0.03383458646616541,2.316863587540279,0.0,6.57629300276544
29,8.09899974913028,0.02461706783369803,0.8107221006564551,0.0,6.205637936632517
30,0.46840751831841704,0.6306620209059234,3.400696864111498,0.0,4.956117343054812
31,1.616104481154707,0.9968944099378882,2.4782608695652173,0.0,3.457102645722544
32,4.853417945103047,0.33611442193087004,2.095351609058403,0.0,4.391083495580045
33,3.086510337673877,0.48932384341637014,2.580071174377224,0.0,4.496010518695708
34,0.6612635241675006,1.0309392265193371,2.274033149171271,0.0,6.003771261356094
35,1.175753946764959,0.7887323943661972,2.8098591549295775,0.0,4.728494072553214
36,3.620806253409073,0.1650485436893204,2.530744336569579,0.0,6.490303097201511
37,3.4554708035948605,0.23015873015873017,2.3904761904761904,0.0,6.8715250118682665
38,2.353575466090065,0.8190899001109877,1.9378468368479467,0.0,5.912758243128124
39,0.5344336121658905,1.170774647887324,2.341549295774648,0.0,4.728494072553214
40,2.5466299640119607,0.5335570469798658,2.456375838926174,0.0,5.7515257290134185
41,0.7537774870793466,0.37339055793991416,3.412017167381974,0.0,6.597675149347459
42,1.3065237830018872,0.9262820512820512,2.032051282051282,0.0,6.682746852201555
43,0.18605647299542363,0.6683168316831684,3.198019801980198,0.0,6.093983284924191
